,caption,commentsCount,dimensionsHeight,dimensionsWidth,hashtags/0,hashtags/1,hashtags/2,likesCount,productType,timestamp,type,day_of_week,popularity_index,season,hour_of_day,month_of_year
10,"Amazing cake ideas  Comment your favorite 

1: @lapateaghiz
2: @cakesbymarian_
3: @bakedbouquet_
4: @delicious_bakez
5: @wildflourcakes_mia
6: @cakesbymarian_
7: @karina_malevich",11,612,612,none,none,none,5005.0,carousel_container,2024-12-19 19:27:10,Sidecar,Thursday,3506.8,Fall,19,12
11,"Festive brush strokes 
Wishing everyone warmth and joy for the holidays 
.
.
.
.
.
.
.
.
.
#bostonparty #bostoncakes #bostonweddings #bostonevent #instacake #cakedesign #bostoncakedesigner #bostonbrides #bostonbakery  #cakeandice #cake #bostondessert  #newenglandwedding #cakedecorating #bostoncake #cake_trends #weddingdream #paintedcake  #cakesinstyle #bostondessert #bostonengagement #texturedbuttercream #newenglandwedding #bostonkids #birthdaycake  #weddingcake #weddingcakes",30,1920,1080,bostonparty,bostoncakes,bostonweddings,1499.0,clips,2024-12-24 13:16:51,Video,Tuesday,1058.3,Winter,13,12
12,"Buttercream flower cake class works oil painting style 
油画or蛋糕❓
是油画盘洒落在了裱花蛋糕上
梦幻的蜜桃红把油画风配色表达到极致
课堂设计.奶油霜裱花的色彩感拿捏
#flowercake #cakedesign #buttercream #flower #cake #partycake #birthdaycake #buttercreamflower #baking #weddingcake #beanpaste #design #color #freshcream #cupcakes #freshcreamcake #豆沙裱花 #韩式裱花 #烘焙 #甜品 #裱花#奶油霜裱花 #淡奶油裱花 #裱花蛋糕#鲜奶油裱花 #버터크림플라워케이크 #앙금플라워케이크 #플라워케이크",5,1920,1080,flowercake,cakedesign,buttercream,575.0,clips,2025-01-08 14:48:26,Video,Wednesday,404.0,Winter,14,1
13,"Wedding cake 4 @carotran  made by @vegemammma  

A giant dome of vanilla & olive oil sponge, lemon curd, strawberries & vanilla bean swiss meringue buttercream.

featured in @vogueaustralia

#cakeart #cakedesign #weddingcake #vogueaustralia #epicdecordk",8,612,612,cakeart,cakedesign,weddingcake,2759.0,carousel_container,2025-01-03 00:37:22,Sidecar,Friday,1933.7,Winter,0,1
14,"・
・
生徒さまへ贈る
#ウエディングケーキ 
・
・
教室に通ってくださっている生徒さまが
ご結婚されることになり
ウエディングケーキをご依頼いただきました✨
・
・
可愛いケーキがご希望で
相談しながらピンクのリボンのデザインに
・
下が4号、上が3号の小ぶりなサイズ。
後ろにも一本上からリボンかけてます。
いちご乗せるスペースがギリギリでした
・
・
プラチョコのリボンは初めて作るので
かなりドキドキでしたが
なんとか上手く組み立てられてホッ。
・
綺麗なお皿に乗せたかったけど
移動が怖すぎて無理だったー
・
無事にお渡しできました。
・
・
一生に一度の記念のケーキをご依頼いただき
ありがとうございました！
作らせていただけて光栄でした✨
・
末永くお幸せに
・
・
・
#ウエディングケーキ #2段ケーキ #リボンケーキ #記念日ケーキ #weddingcake #手作りケーキ #手作りスイーツ #お菓子作り #お菓子教室 #お菓子教室大阪 #instasweets #homemadecake #おうちカフェ #wp_deli_japan #フーディーテーブル #おうちごはんlover #私のおいしい写真 #cotta #コッタ",2,612,612,ウエディングケーキ,2段ケーキ,リボンケーキ,3.0,carousel_container,2024-12-23 12:59:15,Sidecar,Monday,2.7,Winter,12,12
15,"Congratulations to Tracy and Fred, who celebrated their wedding last Saturday!

In keeping with their elegant black-and-white color scheme, we adorned their cake with ribbons of black icing in varying widths. The offset sugar flower topper, inspired by the stunning fresh blooms of @bellefleurny featured an array of all-white roses, calla lilies, ranunculus, anemones, sweet peas, lisianthus, stephanotis, and delicate foliage.

Venue: #UnionClubNY
Mistress of ceremonies: @unikimh 

#cake #weddingcake #blackandwhite #blackandwhitecake #sugarflowers #holidaywedding",23,612,612,UnionClubNY,cake,weddingcake,689.0,carousel_container,2024-12-27 13:19:39,Sidecar,Friday,489.19999999999993,Winter,13,12
16,"Peachy Pearadise for the end of 2024  

.
.
.
.
.
.
.
#cake #cakedesign #cakedecorating #cakeart #nyccake #cakedecorator #nyccakeartist #cakesofinstagram #cakecakecake #patisserie #pearcake #cardamomcake #cambro #weddingcake #cakeinspo #weddingcakesideas #weddingcakeideas #birthdaycale #capricorn",10,612,612,cake,cakedesign,cakedecorating,3.0,carousel_container,2025-01-01 16:45:00,Sidecar,Wednesday,5.1,Winter,16,1
17,"Love ❤️ 

@hiba_ziana 
-
-
-
-
-
-
-
-
-
-
-
#love #aşk #bridetobe #engagementring #event #fypシ #indianbride #weddingphotography #weddingcake #flowers #❤️ # # #naturephotography #photographers_of_india #photographylovers #photography",8,612,612,love,aşk,bridetobe,2900.0,carousel_container,2024-12-30 11:51:42,Sidecar,Monday,2032.4,Winter,11,12
18,"My Lovely Bride & Groom
Sogol +  Amir❤️
Dubai 
.
Wedding planner: @ueventsglobal .
Music : @dj.iman.y .
Make up : @zaranikmaneshmakeup 
Dress : @wona_concept .
Jewerlly: @rostamiangallery 
Taj: @maryamnourollahi .
.
@silvana.studio .
@sogolsgc .
@amir.del 
@bandobassat .
.
#weddingdress #wedding #photoshoot #photography #videography #videoedits #bridegroom #weddingflowers #makeup #fashions #shooting #weddingcake #weddingphotography #weddingplanning #turkey #istanbul #istanbulphotography #parisphotography #parisphotographer#dubai #dubaiweddingplanner #dubaiphotography #dubaiphotographer #dubaiweddingphotography",35,1920,1080,weddingdress,wedding,photoshoot,896.0,clips,2024-12-27 20:43:06,Video,Friday,637.6999999999999,Winter,20,12
19,و باز هم کیک خوشگل و پرطرفدارمون با عروس و داماد عزیزمون #کیک#کیک_عروسی#عروسی#گیلان#تالار#کیک_مدرن#تزیین_کیک#کیک_فوندانت#cake#cakes#cakeart #cakedecorating #cakestyle #cakedesigner #cakedecorator #wedding#weddingcake,55,612,612,کیک,کیک_عروسی,عروسی,1021.0,carousel_container,2025-01-07 17:49:03,Sidecar,Tuesday,731.1999999999999,Winter,17,1
20,"Classic beauty ✨️
.
.
.
.
.
.
.
.
.
.
.
#bostonparty #bostoncakes #bostonweddings #bostonevent #instacake #cakedesign #bostoncakedesigner #bostonbrides #bostonbakery  #cakeandice #cake #bostondessert  #newenglandwedding #cakedecorating #bostoncake #cake_trends #weddingdream #paintedcake  #cakesinstyle #bostondessert #bostonengagement #texturedbuttercream #newenglandwedding #bostonkids #birthdaycake  #weddingcake #weddingcakes",8,612,612,bostonparty,bostoncakes,bostonweddings,837.0,carousel_container,2024-12-22 19:12:47,Sidecar,Sunday,588.3,Winter,19,12
21,What is she teaching her child? #storytime #cake #cakefails #bakerylife #customerservice #weddingcake #retaillifebelike #cakedecorating #skit #instagramreels,3,1920,1080,storytime,cake,cakefails,157.0,clips,2025-01-09 14:31:39,Video,Thursday,110.8,Winter,14,1
22,"Cake Design No. 2 “Nazrahna”

When I started making cakes my dad would buy me anything to do with baking, and he still does. Some cake tools I’d never seen before and had no idea of its use. 

One time Nazrahna was at mine and she saw a cake tool in my house. When we went cake shopping she saw that tool at the shop and she said “Hallu, this tool what your dads brought for you is expensive, look after it and figure out how to use it” and now atleast 10 years later I’ve used it so much. 
And she doesn’t remember what she said but because she reminded me I’ve learnt its use and used it soo much and thought of her everytime I used it!  

So hears Nazrahna  isn’t she gorgeous? Just like my friend Najju 

Ill pop a picture of the tool on my story soon if you haven’t got, its an excellent buy, you’ll always have uniform ropes etc and can thank me later x 

Cake separator @prop.options 
Cake charm @acrilify 

#cake #weddingcake #wedding #whitewedding",12,1799,1440,cake,weddingcake,wedding,3.0,feed,2025-01-05 16:25:45,Image,Sunday,5.699999999999999,Winter,16,1
23,"یه سبک جدید از مینی کیک های پذیرایی

البته اینا کاپ کیک های وانیلی هستن. 
روشون با خامه دیزاین شده.

پک های ۹تایی،۱۲تایی،۱۶تایی،۲۰تایی

پک ها با جعبه و گل ارایی تقدیمتون میشه.

⭕️هیچ نوع جعبه ای جداگانه برای فروش ندارم…لطفا سوال نفرمایید.⭕️

رنگ و مدل گل ها میتونه انتخابی باشه .
حتی رنگ بدنه مینی کیک ها رو هم میتونید انتخاب کنید

ثبت سفارش : واتساپ و دایرکت

09356688159

@novelcake99 
@novelcake99 
@novelcake99

_____________________
#کیک_فوندانتی #کیک_فوندانتی #کیک_عروسی #کیک_عروسی_نامزدی #کیک_عروس #کیک_عروسی_خاص #کیک_عروسی_لاکچری 
#weddingcake #weddingcakes #weddingcakedesign#باکس_خواستگاری #باکس_خواستگاری_لاکچری#خواستگاری#خواستگاری_عاشقانه#پک_خواستگاری #شیرینی_خواستگاری #کیک_بله_برون #بلهبرون #بله_برون #خواستگاری #عقد #",24,612,612,کیک_فوندانتی,کیک_عروسی,کیک_عروسی_نامزدی,449.0,carousel_container,2025-01-09 14:12:46,Sidecar,Thursday,321.49999999999994,Winter,14,1
24,"کیک های که برای جشن نامزدی یا عقد و عروسی هستنو یه جوره خاصی دوست دارم ‍♀️‍♂️ خیلی ناز و ملیح میشن
ایشونو برای جشن عقد فرستادیم 

#کیک#کیک_عقد#کیک_بله_برون #کیک_عروسی#کیک_عروس#کیک_نامزدی#شیرینی_عروسی#شیرینی_خواستگاری#گل_شکری#گل_ارکیده#cake#weddingcake#",170,1440,1440,کیک,کیک_عقد,کیک_بله_برون,994.0,feed,2024-12-31 17:29:05,Image,Tuesday,746.8,Winter,17,12
25,"خداییش نباید براش غش کرد؟؟
#کیک #کیک_خونگی #کیک_تولد #کیک_عروسی #کیک_خامه #کیک_فوندانت #تاپر #دکور _کیک #سفارشی #کاشان
#cake #cakedecoration #cakedecorated #cakedecorative #cakedecorated #cakeart #cakedesign #design #fondantcake #creamcake #birthdaycake #weddingcake #topper #iran #kashan",42,612,612,کیک,کیک_خونگی,کیک_تولد,225.0,carousel_container,2025-01-09 14:35:41,Sidecar,Thursday,170.1,Winter,14,1
26,"“…but I envision this cake like lavender haze clouds from the Taylor Swift’s ERAS world tour … because this is my dream man / dream wedding / dream caker / dream cake…” - @doublelradio

Thank you for trusting me with this vision 

#lavenderhaze #weddinginspiration #weddingcake #cakeartist #taylorswift #swiftie",83,1920,1080,lavenderhaze,weddinginspiration,weddingcake,939.0,clips,2025-01-05 16:32:34,Video,Sunday,682.1999999999999,Winter,16,1
27,"A hint of blush for an intimate celebration held @godfreyboston
.
.
.
.
.
.
.
.
.
.
#bostonparty #bostoncakes #bostonweddings #bostonevent #instacake #cakedesign #bostoncakedesigner #bostonbrides #bostonbakery  #cakeandice #cake #bostondessert  #newenglandwedding #cakedecorating #bostoncake #cake_trends #weddingdream #paintedcake  #cakesinstyle #bostondessert #bostonengagement #texturedbuttercream #newenglandwedding #bostonkids #birthdaycake  #weddingcake #weddingcakes",6,1799,1440,bostonparty,bostoncakes,bostonweddings,596.0,feed,2025-01-07 13:33:32,Image,Tuesday,419.0,Winter,13,1
28,"One of my favourite design for a while 

Inspired by beautiful works of @kyenpastry 

#chicagocakes #cakedecorating #cakedesign #cakeart #cakestyle #cakedesigner #cakeideas #cakeinspiration #birthdaycake #weddingcake #whitecake #floralcake",31,1920,1080,chicagocakes,cakedecorating,cakedesign,1318.0,clips,2025-01-06 20:17:31,Video,Monday,931.9,Winter,20,1
29,"Cheeers!  It was unexpected, but how beautiful!

Bride @emilyignozza 
Venue @pancolina 
Video @moodvideomaking_weddings 
HMU @beautylivery 
Catering @guidilencicatering 
Floral @sartoria_floreale 
Music @aldoferriniofficial 
Lighting @energy_events 
Dress @lizmartinezbridal",11,612,612,none,none,none,803.0,carousel_container,2025-01-10 12:00:35,Sidecar,Friday,565.3999999999999,Winter,12,1
30,"Llevo una buena semana hablando de libros con mi madre. 

Nos intercambiamos y regalamos con premura, como si en ellos estuviera “eso” que nos falta. 

Ella está ahora viajando a Japón gracias a “Soy un gato” y “El crisantelmo y la espada” y yo acabo de reponorme del “Reencuentro” de Fred Uhlman y he vuelto a La Comarca con Bilbo Bolsón, que siempre me ha hecho feliz. 

Y hoy, Juan José Millás en su columna de @el_pais habla sobre los lugares a los que llegamos dentro de un libro. 

Habla de una chica anónima con la que compartía vagón de Metro. 

“Todos íbamos dentro de un vehículo menos ella, que iba dentro de un libro.”

Elena, la protagonista de las fotos y ese vestido hipnótico, llevó sus alianzas en un libro de Harry Potter. 

“Yo he llegado a todas partes dentro de un libro, pero a veces lo olvido y me empeño en llegar de otros modos” concluye Millás.

feat.
@elenacasanellas & @santihch 

‍♀️ Vestidos novia: @marcoymaria 
️ Lugar: @miradordeyrisarri
 Tocado novia: @martina_dorta
 Anillo novia y reloj novio: @ricardo_frances_anticuario
‍♂️ Traje Santi: @sastreriaaldabaldetreku 
 Música: @nemuxpromusic
 Flores: @nunezfloristeri
‍♀️ Peluquería: @itziar_ezquerro
 Maquillaje: @newessentials
️ Catering: @serval_catering 
•⠀⠀⠀⠀⠀⠀⠀⠀⠀
•⠀⠀⠀⠀⠀⠀⠀⠀⠀
•⠀⠀⠀⠀⠀⠀⠀⠀⠀
•⠀⠀⠀⠀⠀⠀⠀⠀⠀
•⠀⠀⠀⠀⠀⠀⠀⠀⠀
#wedding #bride #weddingday #weddingphotography #weddingdress #weddingplanner #weddinginspiration #weddingideas #weddingdecor #weddingplanning #weddingceremony #weddingreception #weddingparty #weddingvenue #weddingcake #weddingflowers #weddingphotographer #weddingdressinspiration #weddingdetails #weddingstyle #navarrawedding #pamplonawedding #navarrabodas #bodaspamplona #weddingnavarra #weddingpamplona #navarraweddingplanner",6,612,612,wedding,bride,weddingday,156.0,carousel_container,2025-01-10 12:18:22,Sidecar,Friday,111.0,Winter,12,1
31,"Wedding cakes .....
ورق بزنید .... 

#wedding #cake #weddingcake #luxury #design #roshanaiecake 

.
 کیک عروسی همیشه سفیدِ سفید نیست! 

کیک‌های عروسی می‌توانند ترکیبی از رنگ‌های 
سفید و طلایی یا حتی رنگ‌های متنوع دیگری باشند! 
در این آلبوم، مجموعه‌ای از کیک‌های عروسی کوچک و بزرگ 
را می‌بینید که با رنگ طلایی جذاب‌تر شده‌اند. 
برخی با ترکیب سفید و طلایی طراحی شده‌اند و 
برخی دیگر با رنگ‌های ملایم مثل صورتی، آبی، 
سبز و... که جلوه‌ای خاص خودشون رو دارند .

اما چیزی که این کیک‌ها را خاص می‌کند، 
سلیقه‌ی شخصی عروس و داماد و داستانی است 
که برای طراحی مراسمشان انتخاب کرده‌اند. 
هر کیک یک روایت دارد؛ 
روایتی از عشق، سلیقه و لحظه‌های ناب زندگی شما!",75,612,612,wedding,cake,weddingcake,1150.0,carousel_container,2025-01-08 17:28:03,Sidecar,Wednesday,827.5,Winter,17,1
32,"Drape your cakes in dreamy florals with our Floral Swag & Drop Silicone Mould. Intricately detailed with tiny flowers and foliage made easy with this versatile mould – your new ESSENTIAL piece of kit! 
 in bio. 
.
.
. 
#floralswag #floralcake #flowercake #edibleflowers #fondantflowers #prettycake #cakedecorating #cakeart #katysuedesigns #madeintheuk #cakedesign #birthdaycake #cakesofinstagram #flowertheme #floraltheme #weddingcake #weddingcakedesign #mould #mold #foodsafe #baker #cakedecorator",8,1920,1080,floralswag,floralcake,flowercake,592.0,clips,2024-12-19 17:55:00,Video,Thursday,416.8,Fall,17,12
33,"Walking into forever, glowing with love ✨ 

Videography @eldiadenuestraboda 
Dress @redondobrand 
Couple @guadaangus @xavilopez24 
Shoes @jimmychoo 
Makeup @yohanarojasmakeup 
Jewelry @bvlgari 

_________________

 DM or Email for Advertising 
_________________

#weddingdecor #wedding #weddinginspiration #weddingplanner #weddingday #bride #weddingideas #weddingphotography #brasil #smile #love #weddingflowers #italy #fyp #weddingplanning #viral #instalove #weddingdetails #instawedding #destinationwedding #beautiful #happy #luxury #weddingphotographer #photography #trending #india #weddingdress #usa",35,1568,882,weddingdecor,wedding,weddinginspiration,724.0,clips,2025-01-10 00:39:24,Video,Friday,517.3,Winter,0,1
34,"Easy breezy beautiful @poojarajgarhiagupta ✨

‍♀️ @marcus.toniandguyhk 
 @ldezen 



#indianfashion #indianwear #fashion #lehenga #weddingideas",58,1920,1080,indianfashion,indianwear,fashion,2701.0,clips,2025-01-08 13:29:00,Video,Wednesday,1908.1,Winter,13,1
35,"""We love you lots and lots like jelly tots"" Everyday I come on this app and cry  

 - @jolvideography
 - @hawkstone_hall

[Video Description: The video shows a groom standing at the top ofmthe altar with his best man by his side. As he stands there a voice recording from his daughter plays, as the recording goes on he wipes his tears away with a tissue.]

#hitched #wedding #weddingideas #weddingplanner #weddingplanning #weddingday #weddings #cute #weddingvenue #weddingceremony #access",22,1280,720,hitched,wedding,weddingideas,730.0,clips,2025-01-10 07:00:38,Video,Friday,517.5999999999999,Winter,7,1
36,Timeless and flawless @helenntok,24,1920,1080,none,none,none,3.0,clips,2025-01-08 15:56:07,Video,Wednesday,9.3,Winter,15,1
37,"More of this in 2025 

Venue | @austin_estate
Bride + Groom | @katieaustin + @lane_armstrong
Planning | @coj_events
Content Creator | @thebtsbride
Photographer |  @valoriedarling
Videographer | @katepervak
Florals + Design |  @luna_design_studios
Lighting | @images_lighting
Rentals | @brighteventrentals @luna_design_studios
Makeup |  @alyssamarie.beauty
Hair | @itsbeccamader
Bride’s Dress | @danahareldesign
Bridesmaid Dresses |  @showmeyourmumu
Cake | @exquisitedesserts 
.
.
.
#weddinginspo #weddingday #weddinginspiration #luxurywedding #outdoorwedding #weddingdesign #receptiondecor #ceremonydecor #weddingideas #luxury #palmspringswedding #socalwedding #outdoorweddingvenue",51,1920,1080,weddinginspo,weddingday,weddinginspiration,1405.0,clips,2025-01-06 15:00:00,Video,Monday,998.7999999999998,Winter,15,1
38,"Rina & Steve ✨ 
.
.
.
.
.
. 
: @eightfold.stories 
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#weddingplanning #weddingstyle #instadaily #sonyalphain #weddingwear #weddingideas #weddingdress #weddinginspiration #pinterest #aesthetic #pinterestinspired #inspiringoutfit #outfitoftheday #weddingphotography #earthytones #weddingsutra #awpiunion #weddingideas",16,612,612,weddingplanning,weddingstyle,instadaily,3.0,carousel_container,2025-01-08 13:30:00,Sidecar,Wednesday,6.9,Winter,13,1
39,"Brooke + Jake by Georgia Munns - Our ideal date night could be anything from a trendy restaurant to riding our bikes barefoot to the local surfy. We both come from the restaurant industry—Jake is the chef, and I am the front-of-house. Now, I’m studying to be a nurse while Jake is still busy being a chef, making bug rolls and strolling a golf course.⁠
⁠
VENUE Ceremony – Yamba Lighthouse, @yambaweddings; Reception: Yamba Surf Life Saving Club, @yambaweddings PHOTOGRAPHER Georgia Munns, @georgiamunnsphoto VIDEOGRAPHER Sommar Films, @sommarfilms FLORIST The Borrowed Nursery, @theborrowednursery CELEBRANT Our friend, Seff ENTERTAINMENT Beverly Thrills, @beverlythri11s HIRE Rosie Pose, @rosiepose_eventhire CATERING By the Groom CAKE Whip Cakes, @whip.cakes STATIONERY & SIGNAGE By the Bride ENGAGEMENT RING By Baby, @_bybaby WEDDING BANDS Lucy Folk, @lucy_folk; Michael Hill, @michaelhillj BRIDAL DRESS Van Der Kooij, @van.der.kooij BRIDE’S SHOE Zara, @zara MAKEUP Hannah Bond, @hannahbondmakeup HAIR Emily Mander, @emilymanderhair; Zig Zag Hair BRIDE’S FRAGRANCE HISHER – Who Is Elijah, @whoiselijahparfum GROOM’S SHOE R. M. Williams, @rmwilliams BRIDESMAIDS DRESSES Silk Laundry – Paris Georgia, @paris__georgia; Turquoise Lane – STAUD, @staud.clothing⁠
⁠
#togetherjournal #wedding #weddingplanning #realwedding #bride #love #married #togetherwedding #groom #engaged #bride #weddinginspiration #weddingday #weddingideas #engaged #belovedstories #weddingphotographer #love #weddinginspo #weddingstyle #loveauthentic ⁠#microsweedding #weddingfashion",41,612,612,togetherjournal,wedding,weddingplanning,2369.0,carousel_container,2025-01-10 02:00:21,Sidecar,Friday,1670.6,Winter,2,1
40,"Choose your favorite #veil ❤️ 1-9? Also you can tag a bride to be✨⁠
⁠
dresses and veils from @grace_loves_lace⁠
⁠",4,612,612,veil,none,none,2415.0,carousel_container,2025-01-06 19:22:53,Sidecar,Monday,1691.7,Winter,19,1
41,"A beautiful idea for an entrance to the first dance, set to the timeless classic My Girl by The Temptations! 

Imagine starting your dance with an elegant, romantic walk, setting the tone for an unforgettable moment.

Stay tuned for tips and inspiration to make your first dance as unique as your love story! 

 @suknie_marta.art.mode 

#firstdancegoals #weddingdance #mygirl #danceinspiration #weddingmoments #weddingideas #firstdancetips #romanticdance #weddinginspo #couplegoals #weddingplanning #bridetobe #groomtobe",24,1920,1080,firstdancegoals,weddingdance,mygirl,492.0,clips,2025-01-10 18:12:16,Video,Friday,351.6,Winter,18,1
42,"Such a beautiful love story idea  Tap if you like⁠
⁠
⁠
Photo by @michalmazurphoto⁠
⁠
⁠
⁠
#weddingideas #instawedding #weddinginspo #weddingplanning #weddings #brideandgroom #engaged #bridal #wedding #italy #italywedding #weddingvenue #weddingceremony #weddingreception #weddingday #weddinginspiration #weddingphotography #weddingphotographer #bridetobe #bridalgown #weddingdress #weddinggown #love #romantic #bride",4,612,612,weddingideas,instawedding,weddinginspo,683.0,carousel_container,2025-01-10 17:15:22,Sidecar,Friday,479.3,Winter,17,1
43,"Which dress captures your attention and draws you in? ⁠
⁠
⁠
⁠
Dresses from @eleganzasposa_⁠
⁠
#weddingdress #bride #bridestory #bridelook #bridedress #wedding #weddingday #dress #style #weddingdresses #weddingphotos #weddingphoto #weddingsession #bridaldress #bridetobe #dresses #weddingstyle #weddingideas #weddingdetails #weddinggown",11,612,612,weddingdress,bride,bridestory,1205.0,carousel_container,2025-01-07 23:21:15,Sidecar,Tuesday,846.8,Winter,23,1
44,"What's the number one thing you look for when you're searching for the perfect photographer/videographer? Is it price, style, location, personality, etc? If you've been looking for a photographer/videographer you've probably realized that it can be a little overwhelming at times and I'm here to help you in your search with my 5 best tips on finding the perfect duo! 

If you're a photographer you might mention that they should view their portfolio to see if they have the right style, or that cheaper prices can sometimes be a red flag]

1. View an entire wedding gallery/video done by them 
2. Don’t ever book a photographer/videographer without FaceTiming them first
3. Pay attention to their style and make sure they are exactly what you’re wanting
4. Sticking to your budget is important, but just remember you get what you pay for 
5. Ask them about their experience and what value they bring to the table 

I hope these little tips help you with your search. If you'd love to talk more about hiring us as your photo/video duo then fill out our inquiry page in our bio! We have a few available spots to FaceTime within the next week or two! We would love to send you some more information to see if we'd be a great fit! 
.
.
.
.
.
.
#weddingphotography #weddinginspo #dirtybootsandmessyhair #authenticlovemag #destinationweddingphotographergreece #destinationweddingphotography #destinationweddingphotographers #junebugweddings #weddingphotographer #photobugcommunity #weddingideas #bride #elopementlove #love",20,612,612,weddingphotography,weddinginspo,dirtybootsandmessyhair,3.0,carousel_container,2025-01-08 22:39:35,Sidecar,Wednesday,8.1,Winter,22,1
45,"First look!❤️ Comment your favorite❤️

1: @emadjoe @risha.films @heba.abdelmonem1
2: @tone.films
3: @deddehhoward @kollbi
4: @foxgrovefilms
5: @wanderbloomfilms
6: @kyliegracefilms",42,612,612,none,none,none,5369.0,carousel_container,2025-01-05 22:26:06,Sidecar,Sunday,3770.9,Winter,22,1
