,caption,commentsCount,dimensionsHeight,dimensionsWidth,hashtags/0,hashtags/1,hashtags/2,hashtags/3,hashtags/4,hashtags/5,likesCount,productType,timestamp,type,hashtags/6,hashtags/7,hashtags/8,hashtags/9,hashtags/10,day_of_week,hour_of_day,month_of_year,season,popularity_index
18,"My Lovely Bride & Groom
Sogol +  Amir❤️
Dubai 
.
Wedding planner: @ueventsglobal .
Music : @dj.iman.y .
Make up : @zaranikmaneshmakeup 
Dress : @wona_concept .
Jewerlly: @rostamiangallery 
Taj: @maryamnourollahi .
.
@silvana.studio .
@sogolsgc .
@amir.del 
@bandobassat .
.
#weddingdress #wedding #photoshoot #photography #videography #videoedits #bridegroom #weddingflowers #makeup #fashions #shooting #weddingcake #weddingphotography #weddingplanning #turkey #istanbul #istanbulphotography #parisphotography #parisphotographer#dubai #dubaiweddingplanner #dubaiphotography #dubaiphotographer #dubaiweddingphotography",35,1920,1080,weddingdress,wedding,photoshoot,photography,videography,videoedits,896.0,clips,2024-12-27 20:43:06,Video,bridegroom,weddingflowers,makeup,fashions,shooting,Friday,20,12,Winter,637.6999999999999
19,و باز هم کیک خوشگل و پرطرفدارمون با عروس و داماد عزیزمون #کیک#کیک_عروسی#عروسی#گیلان#تالار#کیک_مدرن#تزیین_کیک#کیک_فوندانت#cake#cakes#cakeart #cakedecorating #cakestyle #cakedesigner #cakedecorator #wedding#weddingcake,55,612,612,کیک,کیک_عروسی,عروسی,گیلان,تالار,کیک_مدرن,1021.0,carousel_container,2025-01-07 17:49:03,Sidecar,تزیین_کیک,کیک_فوندانت,cake,cakes,cakeart,Tuesday,17,1,Winter,731.1999999999999
20,"Classic beauty ✨️
.
.
.
.
.
.
.
.
.
.
.
#bostonparty #bostoncakes #bostonweddings #bostonevent #instacake #cakedesign #bostoncakedesigner #bostonbrides #bostonbakery  #cakeandice #cake #bostondessert  #newenglandwedding #cakedecorating #bostoncake #cake_trends #weddingdream #paintedcake  #cakesinstyle #bostondessert #bostonengagement #texturedbuttercream #newenglandwedding #bostonkids #birthdaycake  #weddingcake #weddingcakes",8,612,612,bostonparty,bostoncakes,bostonweddings,bostonevent,instacake,cakedesign,837.0,carousel_container,2024-12-22 19:12:47,Sidecar,bostoncakedesigner,bostonbrides,bostonbakery,cakeandice,cake,Sunday,19,12,Winter,588.3
21,What is she teaching her child? #storytime #cake #cakefails #bakerylife #customerservice #weddingcake #retaillifebelike #cakedecorating #skit #instagramreels,3,1920,1080,storytime,cake,cakefails,bakerylife,customerservice,weddingcake,157.0,clips,2025-01-09 14:31:39,Video,retaillifebelike,cakedecorating,skit,instagramreels,none,Thursday,14,1,Winter,110.8
22,"Cake Design No. 2 “Nazrahna”

When I started making cakes my dad would buy me anything to do with baking, and he still does. Some cake tools I’d never seen before and had no idea of its use. 

One time Nazrahna was at mine and she saw a cake tool in my house. When we went cake shopping she saw that tool at the shop and she said “Hallu, this tool what your dads brought for you is expensive, look after it and figure out how to use it” and now atleast 10 years later I’ve used it so much. 
And she doesn’t remember what she said but because she reminded me I’ve learnt its use and used it soo much and thought of her everytime I used it!  

So hears Nazrahna  isn’t she gorgeous? Just like my friend Najju 

Ill pop a picture of the tool on my story soon if you haven’t got, its an excellent buy, you’ll always have uniform ropes etc and can thank me later x 

Cake separator @prop.options 
Cake charm @acrilify 

#cake #weddingcake #wedding #whitewedding",12,1799,1440,cake,weddingcake,wedding,whitewedding,none,none,3.0,feed,2025-01-05 16:25:45,Image,none,none,none,none,none,Sunday,16,1,Winter,5.699999999999999
23,"یه سبک جدید از مینی کیک های پذیرایی

البته اینا کاپ کیک های وانیلی هستن. 
روشون با خامه دیزاین شده.

پک های ۹تایی،۱۲تایی،۱۶تایی،۲۰تایی

پک ها با جعبه و گل ارایی تقدیمتون میشه.

⭕️هیچ نوع جعبه ای جداگانه برای فروش ندارم…لطفا سوال نفرمایید.⭕️

رنگ و مدل گل ها میتونه انتخابی باشه .
حتی رنگ بدنه مینی کیک ها رو هم میتونید انتخاب کنید

ثبت سفارش : واتساپ و دایرکت

09356688159

@novelcake99 
@novelcake99 
@novelcake99

_____________________
#کیک_فوندانتی #کیک_فوندانتی #کیک_عروسی #کیک_عروسی_نامزدی #کیک_عروس #کیک_عروسی_خاص #کیک_عروسی_لاکچری 
#weddingcake #weddingcakes #weddingcakedesign#باکس_خواستگاری #باکس_خواستگاری_لاکچری#خواستگاری#خواستگاری_عاشقانه#پک_خواستگاری #شیرینی_خواستگاری #کیک_بله_برون #بلهبرون #بله_برون #خواستگاری #عقد #",24,612,612,کیک_فوندانتی,کیک_عروسی,کیک_عروسی_نامزدی,کیک_عروس,کیک_عروسی_خاص,کیک_عروسی_لاکچری,449.0,carousel_container,2025-01-09 14:12:46,Sidecar,weddingcake,weddingcakes,weddingcakedesign,باکس_خواستگاری,باکس_خواستگاری_لاکچری,Thursday,14,1,Winter,321.49999999999994
24,"کیک های که برای جشن نامزدی یا عقد و عروسی هستنو یه جوره خاصی دوست دارم ‍♀️‍♂️ خیلی ناز و ملیح میشن
ایشونو برای جشن عقد فرستادیم 

#کیک#کیک_عقد#کیک_بله_برون #کیک_عروسی#کیک_عروس#کیک_نامزدی#شیرینی_عروسی#شیرینی_خواستگاری#گل_شکری#گل_ارکیده#cake#weddingcake#",170,1440,1440,کیک,کیک_عقد,کیک_بله_برون,کیک_عروسی,کیک_عروس,کیک_نامزدی,994.0,feed,2024-12-31 17:29:05,Image,شیرینی_عروسی,شیرینی_خواستگاری,گل_شکری,گل_ارکیده,cake,Tuesday,17,12,Winter,746.8
25,"خداییش نباید براش غش کرد؟؟
#کیک #کیک_خونگی #کیک_تولد #کیک_عروسی #کیک_خامه #کیک_فوندانت #تاپر #دکور _کیک #سفارشی #کاشان
#cake #cakedecoration #cakedecorated #cakedecorative #cakedecorated #cakeart #cakedesign #design #fondantcake #creamcake #birthdaycake #weddingcake #topper #iran #kashan",42,612,612,کیک,کیک_خونگی,کیک_تولد,کیک_عروسی,کیک_خامه,کیک_فوندانت,225.0,carousel_container,2025-01-09 14:35:41,Sidecar,تاپر,دکور,سفارشی,کاشان,cake,Thursday,14,1,Winter,170.1
26,"“…but I envision this cake like lavender haze clouds from the Taylor Swift’s ERAS world tour … because this is my dream man / dream wedding / dream caker / dream cake…” - @doublelradio

Thank you for trusting me with this vision 

#lavenderhaze #weddinginspiration #weddingcake #cakeartist #taylorswift #swiftie",83,1920,1080,lavenderhaze,weddinginspiration,weddingcake,cakeartist,taylorswift,swiftie,939.0,clips,2025-01-05 16:32:34,Video,none,none,none,none,none,Sunday,16,1,Winter,682.1999999999999
27,"A hint of blush for an intimate celebration held @godfreyboston
.
.
.
.
.
.
.
.
.
.
#bostonparty #bostoncakes #bostonweddings #bostonevent #instacake #cakedesign #bostoncakedesigner #bostonbrides #bostonbakery  #cakeandice #cake #bostondessert  #newenglandwedding #cakedecorating #bostoncake #cake_trends #weddingdream #paintedcake  #cakesinstyle #bostondessert #bostonengagement #texturedbuttercream #newenglandwedding #bostonkids #birthdaycake  #weddingcake #weddingcakes",6,1799,1440,bostonparty,bostoncakes,bostonweddings,bostonevent,instacake,cakedesign,596.0,feed,2025-01-07 13:33:32,Image,bostoncakedesigner,bostonbrides,bostonbakery,cakeandice,cake,Tuesday,13,1,Winter,419.0
28,"One of my favourite design for a while 

Inspired by beautiful works of @kyenpastry 

#chicagocakes #cakedecorating #cakedesign #cakeart #cakestyle #cakedesigner #cakeideas #cakeinspiration #birthdaycake #weddingcake #whitecake #floralcake",31,1920,1080,chicagocakes,cakedecorating,cakedesign,cakeart,cakestyle,cakedesigner,1318.0,clips,2025-01-06 20:17:31,Video,cakeideas,cakeinspiration,birthdaycake,weddingcake,whitecake,Monday,20,1,Winter,931.8999999999999
29,"Cheeers!  It was unexpected, but how beautiful!

Bride @emilyignozza 
Venue @pancolina 
Video @moodvideomaking_weddings 
HMU @beautylivery 
Catering @guidilencicatering 
Floral @sartoria_floreale 
Music @aldoferriniofficial 
Lighting @energy_events 
Dress @lizmartinezbridal",11,612,612,none,none,none,none,none,none,803.0,carousel_container,2025-01-10 12:00:35,Sidecar,none,none,none,none,none,Friday,12,1,Winter,565.3999999999999
30,"Llevo una buena semana hablando de libros con mi madre. 

Nos intercambiamos y regalamos con premura, como si en ellos estuviera “eso” que nos falta. 

Ella está ahora viajando a Japón gracias a “Soy un gato” y “El crisantelmo y la espada” y yo acabo de reponorme del “Reencuentro” de Fred Uhlman y he vuelto a La Comarca con Bilbo Bolsón, que siempre me ha hecho feliz. 

Y hoy, Juan José Millás en su columna de @el_pais habla sobre los lugares a los que llegamos dentro de un libro. 

Habla de una chica anónima con la que compartía vagón de Metro. 

“Todos íbamos dentro de un vehículo menos ella, que iba dentro de un libro.”

Elena, la protagonista de las fotos y ese vestido hipnótico, llevó sus alianzas en un libro de Harry Potter. 

“Yo he llegado a todas partes dentro de un libro, pero a veces lo olvido y me empeño en llegar de otros modos” concluye Millás.

feat.
@elenacasanellas & @santihch 

‍♀️ Vestidos novia: @marcoymaria 
️ Lugar: @miradordeyrisarri
 Tocado novia: @martina_dorta
 Anillo novia y reloj novio: @ricardo_frances_anticuario
‍♂️ Traje Santi: @sastreriaaldabaldetreku 
 Música: @nemuxpromusic
 Flores: @nunezfloristeri
‍♀️ Peluquería: @itziar_ezquerro
 Maquillaje: @newessentials
️ Catering: @serval_catering 
•⠀⠀⠀⠀⠀⠀⠀⠀⠀
•⠀⠀⠀⠀⠀⠀⠀⠀⠀
•⠀⠀⠀⠀⠀⠀⠀⠀⠀
•⠀⠀⠀⠀⠀⠀⠀⠀⠀
•⠀⠀⠀⠀⠀⠀⠀⠀⠀
#wedding #bride #weddingday #weddingphotography #weddingdress #weddingplanner #weddinginspiration #weddingideas #weddingdecor #weddingplanning #weddingceremony #weddingreception #weddingparty #weddingvenue #weddingcake #weddingflowers #weddingphotographer #weddingdressinspiration #weddingdetails #weddingstyle #navarrawedding #pamplonawedding #navarrabodas #bodaspamplona #weddingnavarra #weddingpamplona #navarraweddingplanner",6,612,612,wedding,bride,weddingday,weddingphotography,weddingdress,weddingplanner,156.0,carousel_container,2025-01-10 12:18:22,Sidecar,weddinginspiration,weddingideas,weddingdecor,weddingplanning,weddingceremony,Friday,12,1,Winter,110.99999999999999
31,"Wedding cakes .....
ورق بزنید .... 

#wedding #cake #weddingcake #luxury #design #roshanaiecake 

.
 کیک عروسی همیشه سفیدِ سفید نیست! 

کیک‌های عروسی می‌توانند ترکیبی از رنگ‌های 
سفید و طلایی یا حتی رنگ‌های متنوع دیگری باشند! 
در این آلبوم، مجموعه‌ای از کیک‌های عروسی کوچک و بزرگ 
را می‌بینید که با رنگ طلایی جذاب‌تر شده‌اند. 
برخی با ترکیب سفید و طلایی طراحی شده‌اند و 
برخی دیگر با رنگ‌های ملایم مثل صورتی، آبی، 
سبز و... که جلوه‌ای خاص خودشون رو دارند .

اما چیزی که این کیک‌ها را خاص می‌کند، 
سلیقه‌ی شخصی عروس و داماد و داستانی است 
که برای طراحی مراسمشان انتخاب کرده‌اند. 
هر کیک یک روایت دارد؛ 
روایتی از عشق، سلیقه و لحظه‌های ناب زندگی شما!",75,612,612,wedding,cake,weddingcake,luxury,design,roshanaiecake,1150.0,carousel_container,2025-01-08 17:28:03,Sidecar,none,none,none,none,none,Wednesday,17,1,Winter,827.5
32,"Drape your cakes in dreamy florals with our Floral Swag & Drop Silicone Mould. Intricately detailed with tiny flowers and foliage made easy with this versatile mould – your new ESSENTIAL piece of kit! 
 in bio. 
.
.
. 
#floralswag #floralcake #flowercake #edibleflowers #fondantflowers #prettycake #cakedecorating #cakeart #katysuedesigns #madeintheuk #cakedesign #birthdaycake #cakesofinstagram #flowertheme #floraltheme #weddingcake #weddingcakedesign #mould #mold #foodsafe #baker #cakedecorator",8,1920,1080,floralswag,floralcake,flowercake,edibleflowers,fondantflowers,prettycake,592.0,clips,2024-12-19 17:55:00,Video,cakedecorating,cakeart,katysuedesigns,madeintheuk,cakedesign,Thursday,17,12,Fall,416.79999999999995
33,"Walking into forever, glowing with love ✨ 

Videography @eldiadenuestraboda 
Dress @redondobrand 
Couple @guadaangus @xavilopez24 
Shoes @jimmychoo 
Makeup @yohanarojasmakeup 
Jewelry @bvlgari 

_________________

 DM or Email for Advertising 
_________________

#weddingdecor #wedding #weddinginspiration #weddingplanner #weddingday #bride #weddingideas #weddingphotography #brasil #smile #love #weddingflowers #italy #fyp #weddingplanning #viral #instalove #weddingdetails #instawedding #destinationwedding #beautiful #happy #luxury #weddingphotographer #photography #trending #india #weddingdress #usa",35,1568,882,weddingdecor,wedding,weddinginspiration,weddingplanner,weddingday,bride,724.0,clips,2025-01-10 00:39:24,Video,weddingideas,weddingphotography,brasil,smile,love,Friday,0,1,Winter,517.3
34,"Easy breezy beautiful @poojarajgarhiagupta ✨

‍♀️ @marcus.toniandguyhk 
 @ldezen 



#indianfashion #indianwear #fashion #lehenga #weddingideas",58,1920,1080,indianfashion,indianwear,fashion,lehenga,weddingideas,none,2701.0,clips,2025-01-08 13:29:00,Video,none,none,none,none,none,Wednesday,13,1,Winter,1908.1
35,"""We love you lots and lots like jelly tots"" Everyday I come on this app and cry  

 - @jolvideography
 - @hawkstone_hall

[Video Description: The video shows a groom standing at the top ofmthe altar with his best man by his side. As he stands there a voice recording from his daughter plays, as the recording goes on he wipes his tears away with a tissue.]

#hitched #wedding #weddingideas #weddingplanner #weddingplanning #weddingday #weddings #cute #weddingvenue #weddingceremony #access",22,1280,720,hitched,wedding,weddingideas,weddingplanner,weddingplanning,weddingday,730.0,clips,2025-01-10 07:00:38,Video,weddings,cute,weddingvenue,weddingceremony,access,Friday,7,1,Winter,517.5999999999999
36,Timeless and flawless @helenntok,24,1920,1080,none,none,none,none,none,none,3.0,clips,2025-01-08 15:56:07,Video,none,none,none,none,none,Wednesday,15,1,Winter,9.299999999999999
37,"More of this in 2025 

Venue | @austin_estate
Bride + Groom | @katieaustin + @lane_armstrong
Planning | @coj_events
Content Creator | @thebtsbride
Photographer |  @valoriedarling
Videographer | @katepervak
Florals + Design |  @luna_design_studios
Lighting | @images_lighting
Rentals | @brighteventrentals @luna_design_studios
Makeup |  @alyssamarie.beauty
Hair | @itsbeccamader
Bride’s Dress | @danahareldesign
Bridesmaid Dresses |  @showmeyourmumu
Cake | @exquisitedesserts 
.
.
.
#weddinginspo #weddingday #weddinginspiration #luxurywedding #outdoorwedding #weddingdesign #receptiondecor #ceremonydecor #weddingideas #luxury #palmspringswedding #socalwedding #outdoorweddingvenue",51,1920,1080,weddinginspo,weddingday,weddinginspiration,luxurywedding,outdoorwedding,weddingdesign,1405.0,clips,2025-01-06 15:00:00,Video,receptiondecor,ceremonydecor,weddingideas,luxury,palmspringswedding,Monday,15,1,Winter,998.7999999999998
38,"Rina & Steve ✨ 
.
.
.
.
.
. 
: @eightfold.stories 
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#weddingplanning #weddingstyle #instadaily #sonyalphain #weddingwear #weddingideas #weddingdress #weddinginspiration #pinterest #aesthetic #pinterestinspired #inspiringoutfit #outfitoftheday #weddingphotography #earthytones #weddingsutra #awpiunion #weddingideas",16,612,612,weddingplanning,weddingstyle,instadaily,sonyalphain,weddingwear,weddingideas,3.0,carousel_container,2025-01-08 13:30:00,Sidecar,weddingdress,weddinginspiration,pinterest,aesthetic,pinterestinspired,Wednesday,13,1,Winter,6.8999999999999995
